year,fiscalYear,rate,group
1979,,12.515,historical
1980,,13.119,historical
1981,,13.02,historical
1982,,12.045,historical
1983,,12.378,historical
1984,,12.378,historical
1985,,11.969,historical
1986,,11.015,historical
1987,,9.718,historical
1988,,8.454,historical
1989,,8.21,historical
1990,,7.282,historical
1991,,8.162,historical
1992,,7.273,historical
1993,,7.066,historical
1994,,3.849,historical
1995,,6.979,historical
1996,,7.787,historical
1997,,6.172,historical
1998,,0,historical
1999,,0,historical
2000,,0,historical
2001,,0,historical
2002,,2.894,historical
2003,,10.42,historical
2004,,9.952,historical
2005,,9.116,historical
2006,,9.124,historical
2007,,9.306,historical
2008,,9.428,historical
2009,,9.709,historical
2010,,10.707,historical
2011,,10.923,historical
2012,,11.417,historical
2013,,11.442,historical
2014,,11.771,historical
2015,,11.847,historical
2016,,13.88,historical
2017,,15.8,projected
2018,,18.7,projected
2019,,21.6,projected
2020,,24.9,projected
2021,,26.4,projected
2022,,27.4,projected
2023,,28.2,projected
2016,,13.88,previous_projected
2017,,15.8,previous_projected
2018,,17.7,previous_projected
2019,,19.7,previous_projected
2020,,21.1,previous_projected
2021,,21.5,previous_projected
